month_start	session_count	avg_session_duration_minutes	user_id	selected_metric	metric_name	top_user_session_count	last_available_month
2005-02-01	17.0	110.1186274509804	user_000833	17.0	session_count	6897	2009-05-01
2005-03-01	44.0	95.69507575757574	user_000833	44.0	session_count	6897	2009-05-01
2005-04-01	63.0	80.22751322751324	user_000833	63.0	session_count	6897	2009-05-01
2005-05-01	33.0	86.40050505050505	user_000833	33.0	session_count	6897	2009-05-01
2005-06-01	89.0	58.63707865168538	user_000833	89.0	session_count	6897	2009-05-01
2005-07-01	51.0	44.66045751633986	user_000833	51.0	session_count	6897	2009-05-01
2005-08-01	76.0	57.679605263157924	user_000833	76.0	session_count	6897	2009-05-01
2005-09-01	65.0	43.32102564102564	user_000833	65.0	session_count	6897	2009-05-01
2005-10-01	116.0	66.28074712643674	user_000833	116.0	session_count	6897	2009-05-01
2005-11-01	112.0	58.84077380952382	user_000833	112.0	session_count	6897	2009-05-01
2005-12-01	121.0	76.41887052341598	user_000833	121.0	session_count	6897	2009-05-01
2006-01-01	123.0	62.488888888888916	user_000833	123.0	session_count	6897	2009-05-01
2006-02-01	97.0	81.09415807560138	user_000833	97.0	session_count	6897	2009-05-01
2006-03-01	108.0	82.85895061728397	user_000833	108.0	session_count	6897	2009-05-01
2006-04-01	90.0	101.48499999999997	user_000833	90.0	session_count	6897	2009-05-01
2006-05-01	122.0	73.20177595628411	user_000833	122.0	session_count	6897	2009-05-01
2006-06-01	129.0	63.289922480620135	user_000833	129.0	session_count	6897	2009-05-01
2006-07-01	127.0	51.227034120734906	user_000833	127.0	session_count	6897	2009-05-01
2006-08-01	134.0	52.941915422885586	user_000833	134.0	session_count	6897	2009-05-01
2006-09-01	101.0	74.5452145214522	user_000833	101.0	session_count	6897	2009-05-01
2006-10-01	101.0	76.56650165016501	user_000833	101.0	session_count	6897	2009-05-01
2006-11-01	101.0	89.12376237623762	user_000833	101.0	session_count	6897	2009-05-01
2006-12-01	102.0	73.62941176470588	user_000833	102.0	session_count	6897	2009-05-01
2007-01-01	105.0	100.35365079365077	user_000833	105.0	session_count	6897	2009-05-01
2007-02-01	92.0	83.44800724637682	user_000833	92.0	session_count	6897	2009-05-01
2007-03-01	97.0	53.154467353951894	user_000833	97.0	session_count	6897	2009-05-01
2007-04-01	67.0	57.07437810945273	user_000833	67.0	session_count	6897	2009-05-01
2007-05-01	38.0	55.33991228070174	user_000833	38.0	session_count	6897	2009-05-01
2007-06-01	74.0	75.23963963963965	user_000833	74.0	session_count	6897	2009-05-01
2007-07-01	177.0	50.22222222222221	user_000833	177.0	session_count	6897	2009-05-01
2007-08-01	182.0	46.36309523809524	user_000833	182.0	session_count	6897	2009-05-01
2007-09-01	181.0	50.035267034990824	user_000833	181.0	session_count	6897	2009-05-01
2007-10-01	205.0	43.75983739837398	user_000833	205.0	session_count	6897	2009-05-01
2007-11-01	194.0	48.633505154639145	user_000833	194.0	session_count	6897	2009-05-01
2007-12-01	182.0	48.393131868131846	user_000833	182.0	session_count	6897	2009-05-01
2008-01-01	202.0	62.12978547854781	user_000833	202.0	session_count	6897	2009-05-01
2008-02-01	167.0	77.97175648702596	user_000833	167.0	session_count	6897	2009-05-01
2008-03-01	173.0	83.30154142581887	user_000833	173.0	session_count	6897	2009-05-01
2008-04-01	153.0	63.64727668845313	user_000833	153.0	session_count	6897	2009-05-01
2008-05-01	143.0	59.10104895104893	user_000833	143.0	session_count	6897	2009-05-01
2008-06-01	195.0	81.43547008547009	user_000833	195.0	session_count	6897	2009-05-01
2008-07-01	237.0	65.64507735583682	user_000833	237.0	session_count	6897	2009-05-01
2008-08-01	192.0	56.794010416666644	user_000833	192.0	session_count	6897	2009-05-01
2008-09-01	143.0	60.12832167832168	user_000833	143.0	session_count	6897	2009-05-01
2008-10-01	229.0	63.66644832605532	user_000833	229.0	session_count	6897	2009-05-01
2008-11-01	231.0	53.327561327561334	user_000833	231.0	session_count	6897	2009-05-01
2008-12-01	227.0	49.967400881057266	user_000833	227.0	session_count	6897	2009-05-01
2009-01-01	219.0	52.59528158295284	user_000833	219.0	session_count	6897	2009-05-01
2009-02-01	197.0	41.22208121827413	user_000833	197.0	session_count	6897	2009-05-01
2009-03-01	192.0	38.011718750000036	user_000833	192.0	session_count	6897	2009-05-01
2009-04-01	153.0	40.38289760348585	user_000833	153.0	session_count	6897	2009-05-01
2009-05-01	128.0	42.118229166666666	user_000833	128.0	session_count	6897	2009-05-01
